time,kalman_heading,gps_heading,gyro_heading
49946,3.003,3.03,3.00
50051,3.003,3.03,3.00
50163,2.982,3.03,2.98
50269,2.982,3.03,2.96
50379,2.956,3.03,2.94
50484,2.956,3.03,2.86
50597,2.862,3.03,2.84
50700,2.862,3.03,2.83
50805,2.838,2.91,2.85
50906,2.838,2.91,2.85
51015,2.859,2.91,2.89
51120,2.859,2.91,2.92
51223,2.920,2.91,2.93
51331,2.925,2.91,2.93
51432,2.925,2.91,2.93
51538,2.929,2.91,2.93
51644,2.929,2.91,2.91
51748,2.894,2.91,2.89
51856,2.894,2.91,2.87
51959,2.859,2.91,2.85
52064,2.859,2.91,2.84
52166,2.833,2.91,2.83
52269,2.833,2.91,2.84
52374,2.854,2.91,2.86
52483,2.854,2.91,2.89
52590,2.896,2.76,2.91
52693,2.896,2.76,2.94
52797,2.935,2.65,2.95
52898,2.935,2.65,2.95
53005,2.945,2.74,2.93
53112,2.945,2.74,2.91
53214,2.910,2.76,2.91
53322,2.910,2.76,2.87
53423,2.864,2.70,2.86
53527,2.864,2.70,2.85
53629,2.848,2.97,2.85
53739,2.859,2.88,2.86
53849,2.859,2.88,2.89
53957,2.918,2.96,2.93
54067,2.918,2.96,2.98
54174,2.979,3.10,2.98
54277,2.979,3.10,3.00
54380,2.985,2.82,2.98
54490,2.985,2.82,2.97
54593,2.958,2.87,2.94
54701,2.958,2.87,2.92
54803,2.919,2.90,2.92
54909,2.919,2.90,2.95
55018,2.969,2.91,3.01
55127,2.969,2.91,3.08
55232,3.082,2.89,3.14
55336,3.195,2.92,3.20
55444,3.195,2.92,3.23
55554,3.221,2.98,3.22
55657,3.221,2.98,3.20
55762,3.183,3.06,3.18
55869,3.183,3.06,3.14
55970,3.124,3.12,3.12
56077,3.124,3.12,3.13
56189,3.144,3.14,3.15
56295,3.144,3.14,3.18
56396,3.207,3.07,3.24
56500,3.207,3.07,3.29
56605,3.292,3.01,3.30
56713,3.292,3.01,3.29
56815,3.274,3.06,3.25
56922,3.274,3.06,3.22
57030,3.213,3.08,3.18
57141,3.170,3.06,3.17
57249,3.170,3.06,3.19
57356,3.208,3.07,3.21
57458,3.208,3.07,3.25
57560,3.291,2.98,3.32
57667,3.291,2.98,3.33
57775,3.329,3.05,3.33
57884,3.329,3.05,3.31
57992,3.280,2.98,3.26
58099,3.280,2.98,3.21
58210,3.202,2.97,3.16
58321,3.202,2.97,3.14
58428,3.140,2.95,3.16
58538,3.176,2.99,3.18
58646,3.176,2.99,3.22
58748,3.248,2.87,3.27
58858,3.248,2.87,3.28
58959,3.278,2.96,3.29
59063,3.278,2.96,3.28
59165,3.268,2.95,3.27
59269,3.268,2.95,3.25
59372,3.229,2.98,3.22
59475,3.229,2.98,3.17
59589,3.148,3.24,3.13
59696,3.148,3.24,3.11
59798,3.114,3.15,3.12
59906,3.114,3.15,3.13
60007,3.136,3.15,3.17
60115,3.136,3.15,3.20
60217,3.197,3.02,3.21
60324,3.197,3.02,3.21
60432,3.202,2.97,3.19
60534,3.166,2.97,3.16
60636,3.166,2.97,3.12
60745,3.065,2.94,3.06
60848,3.065,2.94,3.02
60957,3.023,2.92,3.02
61065,3.023,2.92,3.01
61174,2.994,2.92,2.99
61284,2.994,2.92,3.00
61386,3.007,2.83,3.01
61494,3.007,2.83,3.01
61604,3.008,2.76,3.01
61711,3.008,2.76,2.99
61821,2.983,2.76,2.97
61929,2.983,2.76,2.95
62038,2.947,2.90,2.93
62139,2.879,2.90,2.88
62244,2.879,2.90,2.83
62345,2.800,2.84,2.78
62453,2.800,2.84,2.75
62565,2.730,2.84,2.72
62669,2.730,2.84,2.70
62773,2.699,2.79,2.68
62879,2.699,2.79,2.65
62988,2.632,2.59,2.60
63096,2.632,2.59,2.54
63207,2.526,2.59,2.47
63309,2.526,2.59,2.41
63416,2.394,2.59,2.33
63518,2.394,2.59,2.25
63626,2.241,2.64,2.15
63733,2.085,2.64,2.07
63842,2.085,2.64,2.01
63951,1.972,2.14,1.96
64059,1.972,2.14,1.92
64160,1.895,1.62,1.89
64268,1.895,1.62,1.86
64369,1.815,1.38,1.81
64476,1.815,1.38,1.75
64585,1.708,1.16,1.70
64688,1.708,1.16,1.64
64797,1.595,1.07,1.58
64906,1.595,1.07,1.51
65012,1.483,1.07,1.43
65119,1.483,1.07,1.37
65221,1.365,1.07,1.35
65323,1.365,1.07,1.33
65431,1.326,1.07,1.31
65539,1.284,1.07,1.29
65646,1.284,1.07,1.24
65756,1.162,0.24,1.17
65860,1.162,0.24,1.10
65965,1.125,5.78,1.02
66076,1.125,5.78,0.91
66182,0.930,5.78,0.80
66292,0.930,5.78,0.69
66400,0.724,5.78,0.54
66501,0.724,5.78,0.44
66610,0.509,5.78,0.35
66714,0.509,5.78,0.27
66816,0.376,5.78,0.23
66926,0.376,5.78,0.23
67027,0.343,5.78,0.19
67133,0.249,5.78,0.15
67235,0.249,5.78,0.10
67341,0.155,5.78,0.02
67442,0.155,5.78,-0.06
67552,6.234,5.78,-0.18
67659,6.234,5.78,-0.24
67766,6.120,5.78,-0.29
67867,6.120,5.78,-0.28
67976,6.143,5.78,-0.24
68079,6.143,5.78,-0.20
68187,6.220,5.78,-0.16
68294,6.220,5.78,-0.16
68400,6.225,5.78,-0.16
68504,6.225,5.78,-0.16
68611,6.227,5.78,-0.17
68712,6.227,5.78,-0.19
68817,6.197,5.96,-0.24
68928,6.197,5.96,-0.28
69034,6.122,5.98,-0.30
69137,6.110,6.16,-0.30
69240,6.110,6.16,-0.28
69344,6.134,6.23,-0.26
69445,6.134,6.23,-0.23
69553,6.196,6.21,-0.21
69663,6.196,6.21,-0.21
69770,6.078,0.12,-0.21
69879,6.078,0.12,-0.23
69987,6.052,0.18,-0.25
70096,6.052,0.18,-0.28
70197,6.002,0.28,-0.33
70304,6.002,0.28,-0.36
70405,5.928,0.23,-0.38
70512,5.928,0.23,-0.36
70615,5.938,0.31,-0.34
70722,5.938,0.31,-0.31
70828,5.989,0.27,-0.27
70940,6.056,0.22,-0.23
71041,6.056,0.22,-0.21
71150,6.102,0.09,-0.19
71260,6.102,0.09,-0.19
71368,6.103,0.19,-0.19
71476,6.103,0.19,-0.22
71577,6.060,0.00,-0.23
71689,6.060,0.00,-0.23
71795,6.059,0.02,-0.22
71902,6.059,0.02,-0.21
72003,6.080,0.06,-0.19
72104,6.080,0.06,-0.16
72209,6.244,6.26,-0.13
72317,6.244,6.26,-0.11
72418,0.012,6.22,-0.11
72520,0.012,6.22,-0.11
72628,0.023,6.17,-0.11
72729,0.023,6.17,-0.12
72834,6.160,0.03,-0.16
72942,6.239,6.23,-0.17
73044,6.239,6.23,-0.16
73153,6.257,6.28,-0.13
73263,6.257,6.28,-0.11
73370,6.207,0.05,-0.07
73478,6.207,0.05,-0.05
73579,0.070,6.20,-0.03
73686,0.070,6.20,-0.02
73798,0.088,6.14,-0.04
73906,0.088,6.14,-0.06
74014,6.221,0.05,-0.11
74124,6.221,0.05,-0.16
74233,6.125,0.03,-0.19
74341,6.089,0.06,-0.20
74443,6.089,0.06,-0.18
74549,6.118,0.07,-0.17
74659,6.118,0.07,-0.13
74769,6.188,0.30,-0.09
74877,6.188,0.30,-0.08
74983,6.198,0.31,-0.10
75095,6.198,0.31,-0.13
75204,6.146,0.26,-0.16
75312,6.146,0.26,-0.19
75413,6.093,0.19,-0.24
75521,6.093,0.19,-0.25
75625,6.038,0.07,-0.24
75731,6.038,0.07,-0.20
75835,6.095,0.09,-0.18
75938,6.109,0.13,-0.18
76046,6.109,0.13,-0.14
76149,6.130,0.05,-0.16
76253,6.130,0.05,-0.17
76354,6.193,6.28,-0.20
76465,6.193,6.28,-0.26
76576,5.975,0.04,-0.35
76679,5.975,0.04,-0.42
76783,5.841,0.04,-0.49
76888,5.841,0.04,-0.55
76996,5.719,0.04,-0.60
77098,5.719,0.04,-0.64
77205,5.644,0.04,-0.68
77308,5.644,0.04,-0.72
77414,5.570,0.16,-0.78
77522,5.570,0.16,-0.83
77626,5.472,0.48,-0.89
77728,5.380,0.57,-0.93
77834,5.380,0.57,-0.96
77945,5.310,0.57,-1.01
78049,5.310,0.57,-1.05
78160,5.250,0.57,-1.07
78262,5.250,0.57,-1.08
78367,5.237,0.57,-1.08
78469,5.237,0.57,-1.09
78575,5.231,0.71,-1.08
78684,5.231,0.71,-1.08
78791,5.247,0.65,-1.07
78902,5.247,0.65,-1.08
79003,5.233,0.65,-1.09
79109,5.233,0.65,-1.12
79219,5.189,0.65,-1.15
79328,5.189,0.65,-1.22
79429,5.090,0.65,-1.26
79539,5.046,0.65,-1.27
79644,5.046,0.65,-1.27
79745,5.063,0.65,-1.26
79852,5.063,0.65,-1.25
79954,5.066,0.65,-1.25
80063,5.066,0.65,-1.25
80170,5.060,0.65,-1.26
80277,5.060,0.65,-1.32
80381,5.082,5.79,-1.39
80487,5.082,5.79,-1.48
80596,4.904,5.79,-1.57
80703,4.904,5.79,-1.65
80804,4.745,5.79,-1.70
80913,4.745,5.79,-1.73
81019,4.675,5.79,-1.74
81126,4.675,5.79,-1.74
81230,4.674,5.79,-1.73
81333,4.681,5.79,-1.73
81438,4.681,5.79,-1.75
81539,4.611,5.79,-1.79
81648,4.611,5.79,-1.82
81757,4.588,5.79,-1.85
81864,4.588,5.79,-1.87
81965,4.528,5.79,-1.91
82075,4.528,5.79,-1.95
82177,4.441,5.79,-2.01
82284,4.441,5.79,-2.05
82394,4.342,5.79,-2.06
82500,4.342,5.79,-2.05
82610,4.381,5.79,-2.04
82711,4.381,5.79,-2.01
82818,4.415,5.79,-2.01
82919,4.415,5.79,-2.04
83027,4.387,5.79,-2.12
83136,4.196,5.79,-2.24
83244,4.196,5.79,-2.37
83356,4.009,5.79,-2.51
83462,4.009,5.79,-2.68
83564,3.673,5.79,-2.80
83671,3.673,5.79,-2.94
83776,3.432,5.79,-3.05
83888,3.432,5.79,-3.17
83996,3.216,5.79,-3.28
84098,3.216,5.79,-3.40
84206,2.916,1.01,-3.54
84307,2.916,1.01,-3.67
84416,2.663,1.01,-3.81
84518,2.663,1.01,-3.92
84623,2.440,1.01,-4.04
84724,2.440,1.01,-4.16
84826,2.202,1.01,-4.27
84930,2.020,1.01,-4.36
85033,2.020,1.01,-4.43
85139,1.886,1.01,-4.50
85244,1.886,1.01,-4.55
85346,1.812,1.01,-4.57
85453,1.812,1.01,-4.58
85559,1.812,1.01,-4.57
85662,1.812,1.01,-4.57
85772,1.820,1.01,-4.56
85882,1.820,1.01,-4.56
85984,1.836,1.01,-4.56
86093,1.836,1.01,-4.57
86199,1.807,1.01,-4.59
86310,1.807,1.01,-4.62
86417,1.768,1.01,-4.65
86520,1.768,1.01,-4.68
86628,1.709,1.12,-4.69
86734,1.709,1.12,-4.69
86840,1.692,0.89,-4.68
86942,1.729,0.71,-4.65
87052,1.729,0.71,-4.63
87153,1.771,0.73,-4.61
87254,1.771,0.73,-4.59
87358,1.766,0.67,-4.59
87460,1.766,0.67,-4.61
87567,1.757,0.67,-4.64
87677,1.757,0.67,-4.71
87787,1.640,0.67,-4.75
87896,1.640,0.67,-4.77
88003,1.618,0.67,-4.75
88110,1.618,0.67,-4.72
88214,1.674,0.67,-4.69
88319,1.674,0.67,-4.67
88420,1.723,0.67,-4.63
88529,1.776,0.67,-4.61
88637,1.776,0.67,-4.62
88747,1.747,0.67,-4.63
88853,1.747,0.67,-4.66
88956,1.678,0.51,-4.70
89058,1.678,0.51,-4.75
89159,1.608,0.37,-4.80
89270,1.608,0.37,-4.81
89373,1.581,0.26,-4.80
89482,1.581,0.26,-4.77
89583,1.627,0.34,-4.72
89690,1.627,0.34,-4.66
89798,1.737,0.34,-4.60
89900,1.737,0.34,-4.57
90006,1.804,0.34,-4.53
90111,1.804,0.34,-4.54
90214,1.839,0.34,-4.55
90321,1.839,0.34,-4.58
90422,1.790,0.34,-4.61
90532,1.790,0.34,-4.67
90641,1.726,0.34,-4.69
90755,1.707,0.34,-4.67
90861,1.707,0.34,-4.63
90971,1.790,0.34,-4.55
91074,1.790,0.34,-4.44
91178,1.993,0.34,-4.33
91284,1.993,0.34,-4.22
91385,2.185,0.34,-4.16
91493,2.185,0.34,-4.13
91601,2.235,0.34,-4.12
91702,2.235,0.34,-4.12
91810,2.251,0.34,-4.09
91911,2.251,0.34,-4.03
92019,2.322,0.34,-3.95
92120,2.322,0.34,-3.84
92224,2.559,1.56,-3.72
92336,2.813,1.56,-3.56
92444,2.813,1.56,-3.45
92548,2.951,1.56,-3.41
92653,2.951,1.56,-3.36
92763,3.012,1.56,-3.36
92872,3.012,1.56,-3.38
92974,2.981,2.41,-3.42
93083,2.981,2.41,-3.43
93188,2.969,2.75,-3.41
93296,2.969,2.75,-3.36
93397,3.042,2.87,-3.30
93502,3.042,2.87,-3.22
93606,3.202,2.94,-3.16
93709,3.202,2.94,-3.08
93814,3.334,3.02,-3.02
93915,3.334,3.02,-3.00
94021,3.400,3.02,-2.98
94134,3.424,3.02,-2.98
94235,3.424,3.02,-2.99
94338,3.329,3.02,-3.07
94440,3.329,3.02,-3.08
94546,3.275,3.02,-3.12
94656,3.275,3.02,-3.12
94762,3.268,3.02,-3.10
94873,3.268,3.02,-3.09
94974,3.339,3.02,-3.04
95075,3.339,3.02,-3.01
95182,3.401,3.03,-2.99
95289,3.401,3.03,-2.98
95404,3.416,2.93,-2.99
95510,3.416,2.93,-3.00
95618,3.376,2.98,-3.06
95729,3.376,2.98,-3.10
95839,3.296,3.08,-3.12
95945,3.273,3.11,-3.12
96046,3.273,3.11,-3.10
96147,3.316,3.11,-3.07
96255,3.316,3.11,-3.04
96362,3.397,3.11,-2.99
96468,3.397,3.11,-2.96
96569,3.451,3.11,-2.94
96678,3.451,3.11,-2.94
96788,3.451,3.11,-2.96
96897,3.451,3.11,-3.00
97005,3.376,3.11,-3.05
97106,3.376,3.11,-3.10
97216,3.272,3.11,-3.18
97320,3.272,3.11,-3.25
97429,3.152,3.11,-3.27
97533,3.152,3.11,-3.26
97641,3.140,3.11,-3.23
97749,3.214,3.11,-3.18
97860,3.214,3.11,-3.15
97966,3.284,3.11,-3.11
98068,3.284,3.11,-3.09
98169,3.313,3.11,-3.10
98275,3.313,3.11,-3.11
98383,3.274,3.11,-3.13
98490,3.274,3.11,-3.13
98594,3.245,3.11,-3.15
98702,3.245,3.11,-3.18
98810,3.212,3.13,-3.19
98911,3.212,3.13,-3.18
99019,3.237,3.13,-3.16
99125,3.237,3.13,-3.14
99227,3.252,3.13,-3.11
99330,3.329,3.13,-3.08
99436,3.329,3.13,-3.06
99537,3.339,3.13,-3.06
99643,3.339,3.13,-3.08
99752,3.294,3.13,-3.11
99858,3.294,3.13,-3.14
99967,3.227,3.13,-3.18
100078,3.227,3.13,-3.20
100185,3.189,3.22,-3.24
100286,3.189,3.22,-3.25
100387,3.160,3.27,-3.24
100495,3.160,3.27,-3.22
100597,3.204,3.28,-3.19
100703,3.204,3.28,-3.15
100811,3.259,3.24,-3.11
100913,3.259,3.24,-3.07
101023,3.328,3.15,-3.07
101128,3.328,3.15,-3.10
101230,3.296,3.20,-3.13
101339,3.241,3.22,-3.17
101440,3.241,3.22,-3.22
101546,3.125,3.27,-3.28
101655,3.125,3.27,-3.34
101766,3.027,3.64,-3.42
101872,3.027,3.64,-3.59
101974,2.707,3.64,-3.80
102080,2.707,3.64,-3.92
102192,2.442,3.64,-4.09
102301,2.442,3.64,-4.15
102407,2.241,3.64,-4.21
102511,2.241,3.64,-4.10
102618,2.400,3.64,-3.86
102723,2.400,3.64,-3.61
102837,2.832,3.64,-3.50
102942,2.958,3.64,-3.46
103052,2.958,3.64,-3.37
103153,3.122,3.26,-3.27
103258,3.122,3.26,-3.18
103359,3.247,3.26,-3.14
103460,3.247,3.26,-3.11
103567,3.279,3.26,-3.09
103676,3.279,3.26,-3.09
103777,3.307,3.26,-3.10
103885,3.307,3.26,-3.11
103998,3.256,3.26,-3.15
104102,3.256,3.26,-3.20
104204,3.194,2.92,-3.20
104312,3.194,2.92,-3.18
104415,3.223,2.83,-3.13
104523,3.223,2.83,-3.07
104629,3.333,2.67,-3.03
104740,3.379,2.63,-3.00
104845,3.379,2.63,-2.99
104947,3.404,2.51,-2.99
105056,3.404,2.51,-3.00
105164,3.368,2.64,-3.04
105276,3.368,2.64,-3.09
105383,3.295,2.81,-3.11
105493,3.295,2.81,-3.11
105595,3.291,2.82,-3.09
105702,3.291,2.82,-3.05
105808,3.351,2.56,-3.01
105910,3.351,2.56,-2.97
106018,3.416,2.15,-2.96
106126,3.416,2.15,-2.94
106237,3.435,2.07,-2.95
106346,3.408,2.17,-2.97
106455,3.408,2.17,-2.98
106563,3.398,2.48,-2.98
106673,3.398,2.48,-2.96
106781,3.445,2.48,-2.91
106891,3.445,2.48,-2.85
107000,3.555,2.48,-2.78
107104,3.555,2.48,-2.73
107211,3.653,2.48,-2.66
107318,3.653,2.48,-2.57
107419,3.819,2.48,-2.52
107525,3.819,2.48,-2.48
107627,3.889,2.48,-2.43
107735,4.020,2.48,-2.35
107843,4.020,2.48,-2.24
107953,4.202,2.48,-2.13
108057,4.202,2.48,-2.02
108168,4.422,2.48,-1.89
108270,4.422,2.48,-1.75
108381,4.712,2.48,-1.59
108485,4.712,2.48,-1.42
108588,5.010,2.48,-1.25
108695,5.010,2.48,-1.06
108802,5.335,2.48,-0.90
108903,5.335,2.48,-0.76
109006,5.624,2.48,-0.63
109108,5.624,2.48,-0.51
109210,5.858,2.48,-0.40
109311,5.858,2.48,-0.30
109416,6.043,2.48,-0.21
109527,6.043,2.48,-0.14
109635,6.200,2.48,-0.09
109738,6.278,2.48,-0.05
109845,6.278,2.48,-0.02
109947,0.070,2.48,0.03
110052,0.070,2.48,0.08
110153,0.132,2.48,0.09
110260,0.132,2.48,0.09
110364,0.138,2.48,0.10
110471,0.138,2.48,0.08
110581,0.127,2.48,0.08
110684,0.127,2.48,0.08
110795,0.124,2.48,0.08
110905,0.124,2.48,0.08
111014,0.129,2.48,0.09
111121,0.129,2.48,0.09
111224,0.132,2.48,0.09
111326,0.141,2.48,0.09
111429,0.141,2.48,0.10
111530,0.141,2.48,0.11
111640,0.154,2.48,0.11
111741,0.154,2.48,0.11
111847,0.154,2.48,0.11
111948,0.155,2.48,0.11
112056,0.155,2.48,0.10
112165,0.139,2.48,0.09
112274,0.139,2.48,0.08
112382,0.117,2.48,0.07
112486,0.117,2.48,0.04
112590,0.081,2.48,0.03
112697,0.081,2.48,0.01
112799,0.016,1.17,-0.03
112909,0.016,1.17,-0.07
113018,6.230,1.17,-0.09
113125,6.230,1.17,-0.10
113227,6.206,1.17,-0.11
113335,6.196,1.17,-0.11
113437,6.196,1.17,-0.09
113538,6.236,1.17,-0.07
113644,6.236,1.17,-0.03
113748,0.024,1.17,0.00
113858,0.024,1.17,0.02
