time,kalman_heading,gps_heading,gyro_heading
113959,0.038,1.17,0.02
114060,0.038,1.17,-0.00
114168,0.018,1.17,-0.01
114275,0.018,1.17,-0.04
114386,6.231,0.48,-0.08
114494,6.231,0.48,-0.12
114603,6.164,0.16,-0.13
114712,6.164,0.16,-0.13
114820,6.278,6.25,-0.10
114923,6.278,6.25,-0.05
115031,0.073,6.15,-0.01
115139,0.127,6.12,0.01
115247,0.127,6.12,-0.02
115356,0.072,6.08,-0.05
115466,0.072,6.08,-0.11
115575,6.245,6.07,-0.17
115687,6.245,6.07,-0.23
115793,6.171,6.12,-0.23
115895,6.171,6.12,-0.20
116004,6.195,6.15,-0.16
116109,6.195,6.15,-0.11
116213,0.043,6.22,-0.06
116317,0.043,6.22,-0.03
116420,0.087,6.25,-0.04
116527,0.087,6.25,-0.07
116628,0.051,6.26,-0.13
116729,6.210,6.27,-0.19
116835,6.210,6.27,-0.23
116943,6.042,0.01,-0.25
117044,6.042,0.01,-0.25
117151,6.049,0.05,-0.24
117261,6.049,0.05,-0.22
117369,6.092,0.05,-0.17
117470,6.092,0.05,-0.14
