time,current
Starting data collection:
31305,1.20727
31406,1.16536
31507,1.14246
31607,1.12964
31709,1.18448
31809,1.14961
31910,1.14928
32010,1.18388
32110,1.15260
32210,1.17986
32310,1.16264
32410,1.14882
32513,1.16935
32613,1.15688
32713,1.14987
32813,1.16092
32914,1.17404
33016,1.15492
33116,1.14799
33219,1.19655
33324,1.24811
33424,1.17949
33524,1.20337
33624,1.18212
33724,1.15237
33826,1.22151
33926,1.23773
34030,1.21754
34130,1.26734
34230,1.19276
34330,1.23545
34431,1.25982
34533,1.46195
34634,1.28616
34734,1.21602
34837,1.21297
34937,1.20814
35037,1.18632
35137,1.17728
35238,1.18034
35338,1.18358
35440,1.19220
35541,1.17762
35641,1.19983
35741,1.18451
35845,1.16942
35947,1.17094
36047,1.19774
36147,1.16487
36247,1.17807
36348,1.18372
36450,1.17940
36550,1.18465
36652,1.18166
36752,1.17435
36852,1.17894
36954,1.17765
37054,1.19869
37154,1.18979
37254,1.16699
37357,1.17328
37457,1.18848
37557,1.17281
37657,1.17634
37760,1.17225
37860,1.18344
37961,1.16454
38061,1.17706
38161,1.17684
38261,1.24274
38361,1.19985
38461,1.18303
38564,1.16993
38664,1.19076
38767,1.18594
38867,1.17685
38967,1.16406
39067,1.17469
39167,1.19176
39272,1.19183
39372,1.16770
39475,1.15235
39577,1.19797
39677,1.18124
39780,1.20042
39880,1.16461
39980,1.19516
40080,1.22169
40183,1.19526
40283,1.17071
40383,1.13998
40488,1.14979
40588,1.16773
40688,1.17757
40788,1.19128
40891,1.17826
40991,1.18953
41093,1.29170
41193,1.25922
41293,1.14986
41395,1.19229
41495,1.23519
41598,1.17565
41698,1.16060
41798,1.16213
41899,1.15134
42000,1.12540
42100,1.18635
42201,1.17275
42301,1.17104
42403,1.14875
42503,1.19059
42603,1.17820
42703,1.18939
42806,1.15939
42906,1.15885
43006,1.15714
43106,1.17436
43208,1.12071
43308,1.13429
43408,1.14981
43508,1.14823
43610,1.15619
43710,1.18870
43810,1.10977
43910,1.14597
44012,1.13175
44112,1.12193
44215,1.17707
44315,1.18743
44415,1.13055
44517,1.13240
44617,1.19364
44717,1.14883
44817,1.13488
44918,1.20199
45020,1.19951
45120,1.14810
45221,1.16101
45321,1.16113
45422,1.13628
45523,1.16697
45625,1.15319
45725,1.20467
45825,1.12786
45925,1.20794
46028,1.15036
46128,1.12497
46228,1.23808
46328,1.91137
46429,2.26418
46529,2.15908
46629,3.13167
46729,3.46453
46829,2.14499
46929,2.25427
47030,2.19131
47130,2.26170
47230,2.25428
47330,2.66115
47433,2.61551
47533,2.20817
47637,2.26989
47737,1.90672
47840,1.80488
47941,1.63493
48041,1.45290
48144,1.70808
48245,2.01362
48345,2.08954
48445,1.65780
48550,1.74210
48650,1.59469
48750,1.83567
48850,1.24202
48951,1.18050
49051,1.87058
49154,1.70208
49257,1.62685
49357,1.75948
49457,1.02223
49557,1.09998
49658,1.16102
49758,1.40916
49858,1.34671
49958,1.80631
50058,1.64224
50158,1.66809
50259,1.60412
50359,1.67607
50459,1.75489
50564,1.49840
50664,1.16741
50764,1.47385
50866,1.70474
50966,1.84130
51069,1.99370
51172,1.94971
51272,1.85941
51372,1.61168
51472,1.81805
51574,1.50526
51674,1.99783
51775,1.82711
51875,1.53483
51977,1.64652
52077,1.73769
52180,1.33321
52280,1.79782
52381,1.64591
52481,1.53881
52581,1.42068
52681,1.53421
52781,1.70568
52881,1.97360
52981,1.95095
53083,1.86066
53185,1.91334
53286,1.75263
53386,1.95327
53486,1.44152
53586,2.32246
53688,1.76376
53788,1.60610
53888,1.95766
53988,1.78564
54088,2.08875
54188,2.03996
54288,1.81848
54388,1.92050
54492,2.28494
54592,1.95379
54798,1.96476
54899,1.73286
54999,1.64632
55099,1.52051
